,0
2004001,32
2004002,13
2004003,37
2004004,39
2004005,44
2004006,42
2004007,23
2004008,4
2004009,23
2004010,28
2004011,45
2004012,27
2004013,38
2004014,32
2004015,37
2004016,41
2004017,41
2004018,7
2004019,28
2004020,30
2004021,4
2004022,44
2004023,26
2004024,10
2004025,50
2004026,5
2004027,20
2004028,27
2004029,28
2004030,14
2004031,5
2004032,41
2004033,48
2004034,48
2004035,12
2004036,37
2004037,9
2004038,32
2004039,25
2004040,12
2004041,37
2004042,24
2004043,15
2004044,3
2004045,49
2004046,3
2004047,8
2005001,50
2005002,11
2005003,12
2005004,26
2005005,11
2005006,11
2005007,32
2005008,43
2005009,12
2005010,40
2005011,48
2005012,29
2005013,26
2005014,31
2005015,6
2005016,13
2005017,42
2005018,44
2005019,12
2005020,28
2005021,50
2005022,8
2005023,37
2005024,8
2005025,6
2005026,23
2005027,42
2005028,42
2005029,49
2005030,50
2005031,21
2005032,37
2005033,41
2005034,29
2005035,43
2005036,31
2005037,19
2005038,1
2005039,11
2005040,26
2005041,10
2005042,19
2005043,14
2005044,38
2005045,41
2005046,34
2005047,27
2005048,1
2005049,11
2005050,2
2005051,31
2005052,19
2006001,6
2006002,12
2006003,15
2006004,9
2006005,30
2006006,5
2006007,4
2006008,18
2006009,5
2006010,1
2006011,50
2006012,17
2006013,50
2006014,13
2006015,34
2006016,46
2006017,17
2006018,8
2006019,23
2006020,49
2006021,21
2006022,41
2006023,3
2006024,26
2006025,44
2006026,16
2006027,35
2006028,1
2006029,50
2006030,3
2006031,26
2006032,47
2006033,37
2006034,47
2006035,25
2006036,12
2006037,10
2006038,30
2006039,1
2006040,5
2006041,2
2006042,10
2006043,3
2006044,13
2006045,36
2006046,36
2006047,8
2006048,16
2006049,47
2006050,35
2006051,20
2006052,14
2007001,17
2007002,14
2007003,27
2007004,38
2007005,36
2007006,36
2007007,19
2007008,20
2007009,3
2007010,43
2007011,45
2007012,43
2007013,19
2007014,41
2007015,20
2007016,41
2007017,44
2007018,17
2007019,12
2007020,49
2007021,49
2007022,22
2007023,15
2007024,5
2007025,22
2007026,28
2007027,39
2007028,13
2007029,50
2007030,4
2007031,41
2007032,40
2007033,2
2007034,16
2007035,22
2007036,42
2007037,33
2007038,35
2007039,22
2007040,20
2007041,36
2007042,7
2007043,20
2007044,40
2007045,14
2007046,23
2007047,22
2007048,38
2007049,48
2007050,8
2007051,37
2007052,45
2008001,41
2008002,24
2008003,46
2008004,2
2008005,30
2008006,17
2008007,27
2008008,46
2008009,37
2008010,14
2008011,13
2008012,10
2008013,39
2008014,18
2008015,50
2008016,27
2008017,4
2008018,26
2008019,8
2008020,6
2008021,5
2008022,14
2008023,21
2008024,16
2008025,11
2008026,20
2008027,19
2008028,37
2008029,16
2008030,29
2008031,25
2008032,15
2008033,18
2008034,50
2008035,2
2008036,17
2008037,23
2008038,14
2008039,31
2008040,4
2008041,15
2008042,50
2008043,45
2008044,34
2008045,9
2008046,14
2008047,50
2008048,8
2008049,35
2008050,2
2008051,29
2008052,44
2009001,48
2009002,22
2009003,50
2009004,36
2009005,4
2009006,36
2009007,33
2009008,13
2009009,9
2009010,13
2009011,36
2009012,31
2009013,25
2009014,46
2009015,37
2009016,7
2009017,21
2009018,38
2009019,4
2009020,19
2009021,43
2009022,30
2009023,35
2009024,50
2009025,20
2009026,21
2009027,29
2009028,42
2009029,17
2009030,15
2009031,26
2009032,22
2009033,30
2009034,16
2009035,37
2009036,20
2009037,42
2009038,30
2009039,6
2009040,44
2009041,29
2009042,23
2009043,20
2009044,35
2009045,19
2009046,15
2009047,47
2009048,33
2009049,25
2009050,41
2009051,49
2009052,4
2010001,22
2010002,44
2010003,49
2010004,4
2010005,39
2010006,46
2010007,5
2010008,37
2010009,42
2010010,19
2010011,46
2010012,38
2010013,18
2010014,26
2010015,44
2010016,17
2010017,46
2010018,6
2010019,15
2010020,17
2010021,38
2010022,9
2010023,34
2010024,44
2010025,2
2010026,18
2010027,46
2010028,37
2010029,49
2010030,4
2010031,39
2010032,42
2010033,15
2010034,27
2010035,13
2010036,24
2010037,35
2010038,50
2010039,1
2010040,4
2010041,46
2010042,38
2010043,39
2010044,32
2010045,21
2010046,23
2010047,36
2010048,9
2010049,28
2010050,46
2010051,3
2010052,46
2010053,2
2011001,32
2011002,44
2011003,21
2011004,41
2011005,47
2011006,15
2011007,45
2011008,42
2011009,28
2011010,17
2011011,50
2011012,12
2011013,17
2011014,21
2011015,4
2011016,22
2011017,38
2011018,28
2011019,28
2011020,17
2011021,37
2011022,42
2011023,16
2011024,28
2011025,22
2011026,49
2011027,25
2011028,37
2011029,41
2011030,11
2011031,49
2011032,41
2011033,16
2011034,11
2011035,28
2011036,12
2011037,19
2011038,26
2011039,16
2011040,4
2011041,5
2011042,37
2011043,8
2011044,34
2011045,36
2011046,7
2011047,45
2011048,16
2011049,42
2011050,25
2011051,46
2011052,37
2011053,42
2011054,21
2011055,28
2011056,39
2011057,25
2011058,6
2011059,28
2011060,28
2011061,14
2011062,42
2011063,12
2011064,47
2011065,46
2011066,37
2011067,39
2011068,39
2011069,20
2011070,41
2011071,40
2011072,30
2011073,47
2011074,39
2011075,16
2011076,34
2011077,25
2011078,27
2011079,34
2011080,21
2011081,12
2011082,10
2011083,14
2011084,22
2011085,26
2011086,36
2012001,42
2012002,1
2012003,9
2012004,39
2012005,12
2012006,10
2012007,1
2012008,10
2012009,43
2012010,16
2012011,15
2012012,3
2012013,36
2012014,11
2012015,11
2012016,34
2012017,10
2012018,44
2012019,23
2012020,39
2012021,47
2012022,12
2012023,28
2012024,50
2012025,29
2012026,46
2012027,1
2012028,11
2012029,37
2012030,8
2012031,10
2012032,32
2012033,8
2012034,36
2012035,4
2012036,26
2012037,3
2012038,1
2012039,13
2012040,29
2012041,31
2012042,35
2012043,28
2012044,26
2012045,13
2012046,11
