,ball_1,ball_2,ball_3,ball_4,ball_5,star
3058,12,9,48,7,29,4
3059,8,2,11,47,40,7
3060,25,18,3,8,37,6
3061,43,33,42,22,37,4
3062,20,11,36,17,28,10
3063,25,24,31,34,9,9
3064,12,38,28,24,36,3
3065,43,9,40,28,13,3
3066,46,44,37,2,39,4
3067,3,46,25,10,13,5
3068,41,28,3,4,23,8
3069,28,16,11,32,49,10
3070,12,26,28,19,21,2
3071,14,9,16,12,33,2
3072,28,43,29,38,44,3
3073,39,42,38,29,49,3
3074,20,35,27,19,12,4
3075,30,40,3,21,2,4
3076,14,21,48,16,26,3
3077,49,34,36,12,42,10
3078,24,7,18,15,9,10
22080,18,20,4,12,26,8
22081,43,16,10,25,44,4
22082,37,24,34,9,8,2
22083,10,5,49,47,1,1
22084,30,48,7,31,46,3
22085,3,33,4,49,14,3
22086,18,29,49,37,5,8
22087,29,21,31,47,17,4
22088,15,47,39,25,41,9
22089,26,42,13,7,24,2
22090,13,43,31,47,46,10
22091,14,21,24,2,38,6
22092,38,1,4,23,30,6
22093,45,10,5,40,32,5
22094,37,28,23,38,6,1
22095,41,22,3,37,40,2
22096,15,35,11,28,9,2
22097,17,38,37,11,39,2
22098,34,4,48,42,22,3
22099,16,5,14,29,17,3
22100,21,38,17,1,46,2
22101,39,46,2,9,44,9
22102,39,42,36,27,22,10
22103,32,39,22,11,34,3
22104,5,10,28,34,22,4
22105,9,39,10,15,45,7
22106,35,24,44,38,32,6
22107,5,1,35,27,40,4
22108,20,35,30,3,29,9
22109,25,3,8,49,24,5
22110,4,49,20,7,21,10
22111,40,10,38,26,45,1
22112,12,17,1,20,3,3
22113,5,7,44,15,33,1
22114,3,12,22,9,37,10
22115,25,6,32,7,4,10
22116,29,49,35,18,39,1
22117,12,39,26,14,29,10
22118,8,7,35,36,26,2
22119,20,40,31,7,23,1
22120,32,23,39,35,14,7
22121,17,20,48,16,34,7
22122,19,40,32,13,46,7
22123,17,44,7,40,39,3
22124,31,16,27,24,46,1
22125,38,49,20,16,40,2
22126,35,16,38,46,25,8
22127,12,2,25,35,7,10
