,1,2,3,4,5,6,7,8,9,10,11,12
20040213__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20040213__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20040220__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20040220__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20040227__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20040227__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20040305__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20040305__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20040312__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20040312__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20040319__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20040319__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20040326__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20040326__star_2,False,False,False,True,False,False,False,False,False,False,False,False
20040402__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20040402__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20040409__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20040409__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20040416__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20040416__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20040423__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20040423__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20040430__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20040430__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20040507__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20040507__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20040514__star_1,False,True,False,False,False,False,False,False,False,False,False,False
20040514__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20040521__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20040521__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20040528__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20040528__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20040604__star_1,False,False,False,False,False,False,True,False,False,False,False,False
