,1,2,3,4,5,6,7,8,9,10
2008081__star,0,0,0,0,0,0,0,0,1,0
2008082__star,1,0,0,0,0,0,0,0,0,0
2008083__star,0,0,0,1,0,0,0,0,0,0
2008084__star,0,0,0,1,0,0,0,0,0,0
2008085__star,1,0,0,0,0,0,0,0,0,0
2008086__star,0,0,0,0,0,0,0,0,0,1
2008087__star,0,0,1,0,0,0,0,0,0,0
2008088__star,0,1,0,0,0,0,0,0,0,0
2008089__star,0,0,1,0,0,0,0,0,0,0
2008090__star,0,1,0,0,0,0,0,0,0,0
2008091__star,0,0,0,1,0,0,0,0,0,0
2008092__star,0,0,1,0,0,0,0,0,0,0
2008093__star,0,0,0,0,0,0,0,1,0,0
2008094__star,0,0,0,0,0,0,1,0,0,0
2008095__star,0,0,0,0,0,0,0,0,1,0
2008096__star,0,0,0,0,0,1,0,0,0,0
2008097__star,0,0,0,0,1,0,0,0,0,0
2008098__star,0,0,1,0,0,0,0,0,0,0
2008099__star,0,0,0,0,0,1,0,0,0,0
2008100__star,0,0,0,1,0,0,0,0,0,0
2008101__star,0,0,0,0,0,1,0,0,0,0
2008102__star,0,0,0,0,0,0,0,1,0,0
2008103__star,0,0,0,0,1,0,0,0,0,0
2008104__star,0,0,0,0,0,0,1,0,0,0
2008105__star,1,0,0,0,0,0,0,0,0,0
2008106__star,0,0,0,0,0,0,0,0,0,1
2008107__star,0,0,0,1,0,0,0,0,0,0
2008108__star,0,0,0,0,0,0,0,1,0,0
2008109__star,0,0,1,0,0,0,0,0,0,0
2008110__star,0,0,0,0,0,0,1,0,0,0
2008111__star,0,0,0,0,0,0,0,1,0,0
2008112__star,0,0,0,0,0,0,0,0,1,0
2008113__star,0,0,0,0,1,0,0,0,0,0
2008114__star,0,0,1,0,0,0,0,0,0,0
2008115__star,0,0,0,0,1,0,0,0,0,0
2008116__star,0,0,0,0,0,0,0,0,0,1
2008117__star,0,0,0,1,0,0,0,0,0,0
2008118__star,0,0,0,0,0,0,0,1,0,0
2009119__star,1,0,0,0,0,0,0,0,0,0
2009120__star,0,1,0,0,0,0,0,0,0,0
2009121__star,0,0,0,0,0,0,0,1,0,0
2009122__star,0,1,0,0,0,0,0,0,0,0
2009123__star,0,0,0,0,0,0,0,1,0,0
2009124__star,0,0,1,0,0,0,0,0,0,0
2009125__star,0,0,0,1,0,0,0,0,0,0
2009126__star,0,0,0,0,0,0,0,0,1,0
2009127__star,0,0,1,0,0,0,0,0,0,0
2009128__star,0,0,0,0,0,0,0,0,0,1
2009129__star,0,0,0,0,0,0,0,0,0,1
2009130__star,0,0,0,0,1,0,0,0,0,0
2009131__star,0,0,0,0,0,0,1,0,0,0
2009132__star,0,0,0,0,0,0,0,1,0,0
2009133__star,0,0,1,0,0,0,0,0,0,0
2009134__star,0,0,0,0,0,0,0,0,0,1
2009135__star,0,0,0,0,1,0,0,0,0,0
2009136__star,0,0,0,0,0,0,0,1,0,0
2009137__star,0,0,0,1,0,0,0,0,0,0
2009138__star,0,0,0,1,0,0,0,0,0,0
2009139__star,0,0,0,0,0,0,0,0,1,0
2009140__star,0,0,0,0,1,0,0,0,0,0
2009141__star,0,0,0,0,0,0,1,0,0,0
2009142__star,0,0,0,1,0,0,0,0,0,0
2009143__star,0,0,0,0,0,0,0,0,0,1
2009144__star,0,0,0,0,0,0,0,0,0,1
2009145__star,0,0,0,0,0,1,0,0,0,0
2009146__star,0,0,0,0,0,0,0,1,0,0
2009147__star,0,0,0,0,0,0,0,0,1,0
2009148__star,0,0,0,0,1,0,0,0,0,0
2009149__star,0,0,0,0,0,1,0,0,0,0
2009150__star,0,1,0,0,0,0,0,0,0,0
2009151__star,0,1,0,0,0,0,0,0,0,0
2009152__star,0,0,0,0,0,0,0,0,0,1
2009153__star,0,0,0,1,0,0,0,0,0,0
2009154__star,0,0,0,0,0,0,1,0,0,0
2009155__star,0,1,0,0,0,0,0,0,0,0
2009156__star,0,0,0,0,0,0,0,0,0,1
2009157__star,0,0,1,0,0,0,0,0,0,0
2009158__star,0,0,0,0,0,1,0,0,0,0
2009159__star,0,0,0,0,0,0,1,0,0,0
2009160__star,0,0,0,0,0,1,0,0,0,0
2009161__star,0,0,0,0,0,0,1,0,0,0
2009162__star,1,0,0,0,0,0,0,0,0,0
2009163__star,0,0,0,0,0,0,0,1,0,0
2009164__star,0,0,0,0,0,0,0,1,0,0
2009165__star,0,0,1,0,0,0,0,0,0,0
2009166__star,0,0,0,0,0,0,0,0,1,0
2009167__star,0,0,0,0,0,0,0,1,0,0
2009168__star,0,1,0,0,0,0,0,0,0,0
2009169__star,0,0,1,0,0,0,0,0,0,0
2009170__star,1,0,0,0,0,0,0,0,0,0
2009171__star,1,0,0,0,0,0,0,0,0,0
2009172__star,1,0,0,0,0,0,0,0,0,0
2009173__star,0,0,1,0,0,0,0,0,0,0
2009174__star,0,0,0,0,0,1,0,0,0,0
2009175__star,0,0,0,0,0,0,0,0,0,1
2009176__star,0,0,0,0,0,0,0,0,1,0
2009177__star,0,0,0,1,0,0,0,0,0,0
2009178__star,0,0,0,0,0,0,0,0,0,1
2009179__star,0,0,1,0,0,0,0,0,0,0
2009180__star,0,0,0,1,0,0,0,0,0,0
2009181__star,0,0,0,0,0,0,1,0,0,0
2009182__star,0,0,0,0,0,0,0,0,1,0
2009183__star,1,0,0,0,0,0,0,0,0,0
2009184__star,0,0,0,0,0,1,0,0,0,0
2009185__star,0,0,0,0,0,0,0,0,0,1
2009186__star,0,0,0,0,1,0,0,0,0,0
2009187__star,0,0,0,0,0,0,1,0,0,0
2009188__star,0,0,0,1,0,0,0,0,0,0
2009189__star,0,0,0,1,0,0,0,0,0,0
2009190__star,0,1,0,0,0,0,0,0,0,0
2009191__star,0,0,0,0,0,0,1,0,0,0
2009192__star,0,0,0,1,0,0,0,0,0,0
2009193__star,1,0,0,0,0,0,0,0,0,0
2009194__star,0,0,0,0,0,0,0,1,0,0
2009195__star,0,0,0,0,0,0,0,1,0,0
2009196__star,0,0,0,1,0,0,0,0,0,0
2009197__star,0,0,1,0,0,0,0,0,0,0
2009198__star,0,1,0,0,0,0,0,0,0,0
2009199__star,0,0,1,0,0,0,0,0,0,0
2009200__star,1,0,0,0,0,0,0,0,0,0
2009201__star,1,0,0,0,0,0,0,0,0,0
2009202__star,0,0,0,0,0,0,0,0,0,1
2009203__star,0,0,0,0,0,0,0,0,1,0
2009204__star,1,0,0,0,0,0,0,0,0,0
2009205__star,0,0,0,0,0,1,0,0,0,0
2009206__star,0,0,0,0,0,0,0,0,1,0
2009207__star,0,0,0,1,0,0,0,0,0,0
2009208__star,0,0,1,0,0,0,0,0,0,0
2009209__star,0,0,0,0,0,1,0,0,0,0
2009210__star,0,0,0,0,0,0,0,1,0,0
2009211__star,0,0,0,0,0,0,1,0,0,0
2009212__star,0,0,0,0,0,0,0,0,1,0
2009213__star,0,0,0,0,0,1,0,0,0,0
2009214__star,0,0,0,0,1,0,0,0,0,0
2009215__star,0,0,0,0,0,0,0,0,1,0
2009216__star,0,0,0,0,0,0,0,0,1,0
2009217__star,0,0,0,0,0,0,0,0,0,1
2009218__star,0,0,0,0,0,0,0,0,0,1
2009219__star,0,1,0,0,0,0,0,0,0,0
2009220__star,1,0,0,0,0,0,0,0,0,0
2009221__star,0,0,0,0,0,0,1,0,0,0
2009222__star,0,1,0,0,0,0,0,0,0,0
2009223__star,1,0,0,0,0,0,0,0,0,0
2009224__star,0,0,0,0,0,0,0,1,0,0
2009225__star,0,1,0,0,0,0,0,0,0,0
2009226__star,0,0,0,1,0,0,0,0,0,0
2009227__star,0,0,0,1,0,0,0,0,0,0
2009228__star,1,0,0,0,0,0,0,0,0,0
2009229__star,1,0,0,0,0,0,0,0,0,0
2009230__star,0,0,0,0,0,0,1,0,0,0
2009231__star,0,1,0,0,0,0,0,0,0,0
2009232__star,0,0,0,0,0,1,0,0,0,0
2009233__star,0,0,0,0,0,0,0,0,1,0
2009234__star,0,0,0,1,0,0,0,0,0,0
2009235__star,0,0,0,1,0,0,0,0,0,0
2009236__star,0,0,0,0,0,0,1,0,0,0
2009237__star,0,0,0,1,0,0,0,0,0,0
2009238__star,0,0,0,0,0,0,0,1,0,0
2009239__star,0,0,1,0,0,0,0,0,0,0
2009240__star,0,0,0,0,1,0,0,0,0,0
2009241__star,0,1,0,0,0,0,0,0,0,0
2009242__star,0,0,0,0,1,0,0,0,0,0
2009243__star,1,0,0,0,0,0,0,0,0,0
2009244__star,0,0,0,0,0,0,1,0,0,0
2009245__star,0,0,0,0,0,0,0,0,0,1
2009246__star,0,0,0,0,0,0,1,0,0,0
2009247__star,0,0,1,0,0,0,0,0,0,0
2009248__star,0,1,0,0,0,0,0,0,0,0
2009249__star,0,0,0,0,0,0,0,0,1,0
2009250__star,1,0,0,0,0,0,0,0,0,0
2009251__star,1,0,0,0,0,0,0,0,0,0
2009252__star,0,0,0,0,0,0,0,0,1,0
2009253__star,0,0,0,0,0,1,0,0,0,0
2009254__star,0,0,0,0,0,0,0,0,1,0
2009255__star,0,0,0,0,0,0,1,0,0,0
2009256__star,0,0,0,0,0,1,0,0,0,0
2009257__star,0,0,0,0,0,1,0,0,0,0
2009258__star,0,0,0,0,0,0,0,1,0,0
2009259__star,0,0,0,0,0,1,0,0,0,0
2009260__star,0,0,0,1,0,0,0,0,0,0
2009261__star,0,0,0,0,0,1,0,0,0,0
2009262__star,0,0,0,0,0,1,0,0,0,0
2009263__star,0,0,0,0,0,0,1,0,0,0
2009264__star,0,0,0,0,1,0,0,0,0,0
2009265__star,1,0,0,0,0,0,0,0,0,0
2009266__star,1,0,0,0,0,0,0,0,0,0
2009267__star,0,1,0,0,0,0,0,0,0,0
2009268__star,0,0,0,0,1,0,0,0,0,0
2009269__star,0,0,0,0,0,1,0,0,0,0
2009270__star,0,0,0,0,0,0,0,0,1,0
2009271__star,0,0,0,0,0,1,0,0,0,0
2009272__star,0,0,0,0,1,0,0,0,0,0
2009273__star,0,0,0,0,0,1,0,0,0,0
2009274__star,0,0,0,0,0,0,0,0,0,1
2010001__star,0,0,0,1,0,0,0,0,0,0
2010002__star,0,0,0,0,0,0,0,0,1,0
2010003__star,0,0,1,0,0,0,0,0,0,0
2010004__star,0,0,0,0,0,0,1,0,0,0
2010005__star,0,0,0,1,0,0,0,0,0,0
2010006__star,0,0,0,0,0,0,0,1,0,0
2010007__star,0,0,0,0,0,0,0,0,0,1
2010008__star,0,0,0,0,0,0,0,0,0,1
2010009__star,0,0,0,0,0,0,0,0,1,0
2010010__star,1,0,0,0,0,0,0,0,0,0
2010011__star,0,0,0,0,0,0,0,0,1,0
2010012__star,0,0,0,0,0,0,0,0,1,0
2010013__star,0,0,1,0,0,0,0,0,0,0
2010014__star,0,1,0,0,0,0,0,0,0,0
2010015__star,0,0,0,0,0,0,1,0,0,0
2010016__star,0,0,0,0,1,0,0,0,0,0
2010017__star,0,0,0,1,0,0,0,0,0,0
2010018__star,0,0,0,0,0,0,0,0,0,1
2010019__star,0,0,0,0,1,0,0,0,0,0
2010020__star,0,0,0,0,0,0,0,1,0,0
2010021__star,0,0,0,0,1,0,0,0,0,0
2010022__star,0,0,0,0,0,0,0,1,0,0
2010023__star,0,1,0,0,0,0,0,0,0,0
2010024__star,0,0,0,0,0,0,0,1,0,0
2010025__star,1,0,0,0,0,0,0,0,0,0
2010026__star,0,0,0,0,0,0,1,0,0,0
2010027__star,0,0,0,0,0,0,1,0,0,0
2010028__star,0,0,0,0,0,0,0,0,1,0
2010029__star,0,0,0,0,0,0,0,0,0,1
2010030__star,0,1,0,0,0,0,0,0,0,0
2010031__star,0,0,0,0,0,0,1,0,0,0
2010032__star,0,0,0,0,0,1,0,0,0,0
2010033__star,0,0,0,0,0,0,1,0,0,0
2010034__star,0,0,1,0,0,0,0,0,0,0
2010035__star,0,0,0,0,0,0,0,0,1,0
2010036__star,0,0,0,0,0,1,0,0,0,0
2010037__star,0,0,0,0,0,1,0,0,0,0
2010038__star,0,1,0,0,0,0,0,0,0,0
2010039__star,1,0,0,0,0,0,0,0,0,0
