,0
2004001,9
2004002,2
2004003,5
2004004,5
2004005,4
2004006,9
2004007,2
2004008,2
2004009,2
2004010,3
2004011,5
2004012,7
2004013,1
2004014,2
2004015,4
2004016,6
2004017,7
2004018,1
2004019,6
2004020,1
2004021,1
2004022,8
2004023,8
2004024,8
2004025,6
2004026,6
2004027,5
2004028,6
2004029,1
2004030,7
2004031,5
2004032,8
2004033,1
2004034,6
2004035,2
2004036,5
2004037,3
2004038,9
2004039,1
2004040,9
2004041,6
2004042,8
2004043,4
2004044,7
2004045,9
2004046,6
2004047,8
2005001,3
2005002,3
2005003,8
2005004,5
2005005,7
2005006,7
2005007,8
2005008,8
2005009,7
2005010,1
2005011,5
2005012,9
2005013,3
2005014,3
2005015,9
2005016,9
2005017,1
2005018,6
2005019,9
2005020,8
2005021,9
2005022,5
2005023,7
2005024,7
2005025,7
2005026,3
2005027,8
2005028,6
2005029,1
2005030,5
2005031,4
2005032,7
2005033,3
2005034,6
2005035,3
2005036,7
2005037,3
2005038,4
2005039,1
2005040,3
2005041,6
2005042,1
2005043,3
2005044,2
2005045,5
2005046,3
2005047,6
2005048,4
2005049,1
2005050,7
2005051,1
2005052,1
2006001,4
2006002,1
2006003,6
2006004,4
2006005,3
2006006,6
2006007,4
2006008,7
2006009,3
2006010,4
2006011,7
2006012,4
2006013,7
2006014,4
2006015,6
2006016,1
2006017,7
2006018,9
2006019,1
2006020,8
2006021,3
2006022,6
2006023,4
2006024,9
2006025,9
2006026,1
2006027,7
2006028,8
2006029,8
2006030,6
2006031,7
2006032,5
2006033,1
2006034,8
2006035,9
2006036,8
2006037,7
2006038,8
2006039,5
2006040,7
2006041,5
2006042,6
2006043,8
2006044,9
2006045,2
2006046,2
2006047,5
2006048,2
2006049,1
2006050,3
2006051,2
2006052,3
2007001,6
2007002,3
2007003,4
2007004,4
2007005,1
2007006,8
2007007,6
2007008,5
2007009,8
2007010,9
2007011,9
2007012,3
2007013,1
2007014,6
2007015,3
2007016,3
2007017,1
2007018,1
2007019,6
2007020,2
2007021,8
2007022,6
2007023,8
2007024,3
2007025,5
2007026,1
2007027,9
2007028,6
2007029,9
2007030,8
2007031,1
2007032,6
2007033,7
2007034,2
2007035,6
2007036,5
2007037,7
2007038,8
2007039,4
2007040,5
2007041,3
2007042,7
2007043,8
2007044,2
2007045,6
2007046,1
2007047,9
2007048,9
2007049,1
2007050,4
2007051,7
2007052,9
2008001,3
2008002,4
2008003,8
2008004,7
2008005,4
2008006,1
2008007,7
2008008,8
2008009,9
2008010,6
2008011,4
2008012,6
2008013,3
2008014,6
2008015,5
2008016,5
2008017,8
2008018,8
2008019,7
2008020,4
2008021,1
2008022,8
2008023,2
2008024,9
2008025,3
2008026,5
2008027,7
2008028,3
2008029,6
2008030,7
2008031,1
2008032,7
2008033,6
2008034,7
2008035,8
2008036,3
2008037,7
2008038,9
2008039,2
2008040,2
2008041,6
2008042,1
2008043,6
2008044,5
2008045,3
2008046,4
2008047,8
2008048,4
2008049,5
2008050,7
2008051,5
2008052,1
2009001,1
2009002,4
2009003,3
2009004,2
2009005,5
2009006,3
2009007,1
2009008,1
2009009,9
2009010,5
2009011,1
2009012,4
2009013,6
2009014,1
2009015,2
2009016,1
2009017,5
2009018,3
2009019,9
2009020,5
2009021,6
2009022,6
2009023,2
2009024,6
2009025,7
2009026,8
2009027,6
2009028,1
2009029,3
2009030,9
2009031,6
2009032,7
2009033,9
2009034,5
2009035,7
2009036,9
2009037,6
2009038,2
2009039,9
2009040,5
2009041,4
2009042,3
2009043,8
2009044,6
2009045,5
2009046,4
2009047,2
2009048,8
2009049,3
2009050,2
2009051,8
2009052,5
2010001,7
2010002,9
2010003,4
2010004,9
2010005,7
2010006,3
2010007,6
2010008,3
2010009,7
2010010,9
2010011,7
2010012,7
2010013,2
2010014,5
2010015,3
2010016,9
2010017,6
2010018,3
2010019,7
2010020,3
2010021,4
2010022,3
2010023,9
2010024,2
2010025,4
2010026,9
2010027,8
2010028,3
2010029,7
2010030,9
2010031,8
2010032,4
2010033,7
2010034,6
2010035,1
2010036,4
2010037,5
2010038,3
2010039,1
2010040,1
2010041,6
2010042,7
2010043,3
2010044,8
2010045,5
2010046,6
2010047,9
2010048,7
2010049,4
2010050,8
2010051,3
2010052,8
2010053,1
2011001,7
2011002,7
2011003,5
2011004,5
2011005,5
2011006,7
2011007,9
2011008,3
2011009,8
2011010,2
2011011,7
2011012,7
2011013,4
2011014,6
2011015,2
2011016,1
2011017,1
2011018,4
2011019,7
2011020,2
2011021,3
2011022,8
2011023,2
2011024,9
2011025,11
2011026,2
2011027,10
2011028,8
2011029,8
2011030,8
2011031,4
2011032,11
2011033,3
2011034,9
2011035,5
2011036,7
2011037,9
2011038,3
2011039,5
2011040,2
2011041,11
2011042,5
2011043,8
