date,1,2,3,4,5,6,7,8,9,10
20081006,0,0,0,0,0,0,0,0,1,0
20081008,1,0,0,0,0,0,0,0,0,0
20081011,0,0,0,1,0,0,0,0,0,0
20081013,0,0,0,1,0,0,0,0,0,0
20081015,1,0,0,0,0,0,0,0,0,0
20081018,0,0,0,0,0,0,0,0,0,1
20081020,0,0,1,0,0,0,0,0,0,0
20081022,0,1,0,0,0,0,0,0,0,0
20081025,0,0,1,0,0,0,0,0,0,0
20081027,0,1,0,0,0,0,0,0,0,0
20081029,0,0,0,1,0,0,0,0,0,0
20081101,0,0,1,0,0,0,0,0,0,0
20081103,0,0,0,0,0,0,0,1,0,0
20081105,0,0,0,0,0,0,1,0,0,0
20081108,0,0,0,0,0,0,0,0,1,0
20081110,0,0,0,0,0,1,0,0,0,0
20081112,0,0,0,0,1,0,0,0,0,0
20081115,0,0,1,0,0,0,0,0,0,0
20081117,0,0,0,0,0,1,0,0,0,0
20081119,0,0,0,1,0,0,0,0,0,0
20081122,0,0,0,0,0,1,0,0,0,0
20081124,0,0,0,0,0,0,0,1,0,0
20081126,0,0,0,0,1,0,0,0,0,0
20081129,0,0,0,0,0,0,1,0,0,0
20081201,1,0,0,0,0,0,0,0,0,0
20081203,0,0,0,0,0,0,0,0,0,1
20081206,0,0,0,1,0,0,0,0,0,0
20081208,0,0,0,0,0,0,0,1,0,0
20081210,0,0,1,0,0,0,0,0,0,0
20081213,0,0,0,0,0,0,1,0,0,0
20081215,0,0,0,0,0,0,0,1,0,0
20081217,0,0,0,0,0,0,0,0,1,0
20081220,0,0,0,0,1,0,0,0,0,0
20081222,0,0,1,0,0,0,0,0,0,0
20081224,0,0,0,0,1,0,0,0,0,0
20081227,0,0,0,0,0,0,0,0,0,1
20081229,0,0,0,1,0,0,0,0,0,0
20081231,0,0,0,0,0,0,0,1,0,0
20090103,1,0,0,0,0,0,0,0,0,0
20090105,0,1,0,0,0,0,0,0,0,0
20090107,0,0,0,0,0,0,0,1,0,0
20090110,0,1,0,0,0,0,0,0,0,0
20090112,0,0,0,0,0,0,0,1,0,0
20090114,0,0,1,0,0,0,0,0,0,0
20090117,0,0,0,1,0,0,0,0,0,0
20090119,0,0,0,0,0,0,0,0,1,0
20090121,0,0,1,0,0,0,0,0,0,0
20090124,0,0,0,0,0,0,0,0,0,1
20090126,0,0,0,0,0,0,0,0,0,1
20090128,0,0,0,0,1,0,0,0,0,0
20090131,0,0,0,0,0,0,1,0,0,0
20090202,0,0,0,0,0,0,0,1,0,0
20090204,0,0,1,0,0,0,0,0,0,0
20090207,0,0,0,0,0,0,0,0,0,1
20090209,0,0,0,0,1,0,0,0,0,0
20090211,0,0,0,0,0,0,0,1,0,0
