,1,2,3,4,5,6,7,8,9,10,11,12
2004001__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2004001__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2004002__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2004002__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2004003__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2004003__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2004004__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2004004__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2004005__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2004005__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2004006__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2004006__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2004007__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2004007__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2004008__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2004008__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2004009__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2004009__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2004010__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2004010__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2004011__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2004011__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2004012__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2004012__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2004013__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2004013__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2004014__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2004014__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2004015__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2004015__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2004016__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2004016__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2004017__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2004017__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2004018__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2004018__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2004019__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2004019__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2004020__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2004020__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2004021__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2004021__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2004022__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2004022__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2004023__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2004023__star_2,0,0,0,0,1,0,0,0,0,0,0,0
